"REF_DATE","GEO","DGUID","Sex","Selected causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Ontario","2016A000235","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573222","7.1.8.2","472.9","","","","1"
"2000","Ontario","2016A000235","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573223","7.1.9.1","29420","","","","0"
"2000","Ontario","2016A000235","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573224","7.1.9.2","266.3","","","","1"
"2000","Ontario","2016A000235","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573225","7.2.8.1","38974","","","","0"
"2000","Ontario","2016A000235","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573226","7.2.8.2","705.0","","","","1"
"2000","Ontario","2016A000235","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573227","7.2.9.1","22483","","","","0"
"2000","Ontario","2016A000235","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573228","7.2.9.2","406.7","","","","1"
"2000","Ontario","2016A000235","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573229","7.3.8.1","13266","","","","0"
"2000","Ontario","2016A000235","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573230","7.3.8.2","240.4","","","","1"
"2000","Ontario","2016A000235","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573231","7.3.9.1","6938","","","","0"
"2000","Ontario","2016A000235","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573232","7.3.9.2","125.7","","","","1"
"2000","Manitoba","2016A000246","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573233","8.1.8.1","9762","","","","0"
"2000","Manitoba","2016A000246","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573234","8.1.8.2","912.1","","","","1"
"2000","Manitoba","2016A000246","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573235","8.1.9.1","4860","","","","0"
"2000","Manitoba","2016A000246","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573236","8.1.9.2","454.1","","","","1"
"2000","Manitoba","2016A000246","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573237","8.2.8.1","7246","","","","0"
"2000","Manitoba","2016A000246","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573238","8.2.8.2","1341.9","","","","1"
"2000","Manitoba","2016A000246","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573239","8.2.9.1","3602","","","","0"
"2000","Manitoba","2016A000246","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573240","8.2.9.2","667.1","","","","1"
"2000","Manitoba","2016A000246","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573241","8.3.8.1","2516","","","","0"
"2000","Manitoba","2016A000246","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573242","8.3.8.2","474.5","","","","1"
"2000","Manitoba","2016A000246","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573243","8.3.9.1","1258","","","","0"
"2000","Manitoba","2016A000246","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573244","8.3.9.2","237.3","","","","1"
"2000","Saskatchewan","2016A000247","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573245","9.1.8.1","10138","","","","0"
"2000","Saskatchewan","2016A000247","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573246","9.1.8.2","1086.5","","","","1"
"2000","Saskatchewan","2016A000247","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573247","9.1.9.1","4420","","","","0"
"2000","Saskatchewan","2016A000247","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573248","9.1.9.2","473.7","","","","1"
"2000","Saskatchewan","2016A000247","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573249","9.2.8.1","7179","","","","0"
"2000","Saskatchewan","2016A000247","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573250","9.2.8.2","1521.5","","","","1"
"2000","Saskatchewan","2016A000247","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573251","9.2.9.1","3250","","","","0"
"2000","Saskatchewan","2016A000247","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573252","9.2.9.2","688.8","","","","1"
"2000","Saskatchewan","2016A000247","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573253","9.3.8.1","2959","","","","0"
"2000","Saskatchewan","2016A000247","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573254","9.3.8.2","641.5","","","","1"
"2000","Saskatchewan","2016A000247","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573255","9.3.9.1","1170","","","","0"
"2000","Saskatchewan","2016A000247","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573256","9.3.9.2","253.7","","","","1"
"2000","Alberta","2016A000248","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573257","10.1.8.1","25526","","","","0"
"2000","Alberta","2016A000248","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573258","10.1.8.2","888.2","","","","1"
"2000","Alberta","2016A000248","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573259","10.1.9.1","12973","","","","0"
"2000","Alberta","2016A000248","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573260","10.1.9.2","451.4","","","","1"
"2000","Alberta","2016A000248","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573261","10.2.8.1","17981","","","","0"
"2000","Alberta","2016A000248","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573262","10.2.8.2","1226.2","","","","1"
"2000","Alberta","2016A000248","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573263","10.2.9.1","9520","","","","0"
"2000","Alberta","2016A000248","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573264","10.2.9.2","649.2","","","","1"
"2000","Alberta","2016A000248","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573265","10.3.8.1","7545","","","","0"
"2000","Alberta","2016A000248","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573266","10.3.8.2","536.0","","","","1"
"2000","Alberta","2016A000248","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573267","10.3.9.1","3453","","","","0"
"2000","Alberta","2016A000248","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573268","10.3.9.2","245.3","","","","1"
"2000","British Columbia","2016A000259","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573269","11.1.8.1","32256","","","","0"
"2000","British Columbia","2016A000259","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573270","11.1.8.2","849.4","","","","1"
"2000","British Columbia","2016A000259","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573271","11.1.9.1","13370","","","","0"
"2000","British Columbia","2016A000259","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573272","11.1.9.2","352.1","","","","1"
"2000","British Columbia","2016A000259","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573273","11.2.8.1","24205","","","","0"
"2000","British Columbia","2016A000259","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573274","11.2.8.2","1266.7","","","","1"
"2000","British Columbia","2016A000259","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573275","11.2.9.1","9953","","","","0"
"2000","British Columbia","2016A000259","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573276","11.2.9.2","520.9","","","","1"
"2000","British Columbia","2016A000259","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573277","11.3.8.1","8051","","","","0"
"2000","British Columbia","2016A000259","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573278","11.3.8.2","426.7","","","","1"
"2000","British Columbia","2016A000259","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573279","11.3.9.1","3418","","","","0"
"2000","British Columbia","2016A000259","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573280","11.3.9.2","181.2","","","","1"
"2000","Yukon","2015A00076001","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573281","12.1.8.1","528","","","","0"
"2000","Yukon","2015A00076001","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573282","12.1.8.2","1766.5","","","","1"
"2000","Yukon","2015A00076001","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573283","12.1.9.1","283","","","","0"
"2000","Yukon","2015A00076001","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573284","12.1.9.2","947.7","","","","1"
"2000","Yukon","2015A00076001","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573285","12.2.8.1","428","","","","0"
"2000","Yukon","2015A00076001","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573286","12.2.8.2","2798.1","","","","1"
"2000","Yukon","2015A00076001","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573287","12.2.9.1","240","","","","0"
"2000","Yukon","2015A00076001","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573288","12.2.9.2","1570.9","","","","1"
"2000","Yukon","2015A00076001","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573289","12.3.8.1","100","","","","0"
"2000","Yukon","2015A00076001","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573290","12.3.8.2","685.7","","","","1"
"2000","Yukon","2015A00076001","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573291","12.3.9.1","43","","","","0"
"2000","Yukon","2015A00076001","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573292","12.3.9.2","294.8","","","","1"
"2000","Northwest Territories","2015A00076101","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573293","14.1.8.1","839","","","","0"
"2000","Northwest Territories","2015A00076101","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573294","14.1.8.2","2103.1","","","","1"
"2000","Northwest Territories","2015A00076101","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573295","14.1.9.1","265","","","","0"
"2000","Northwest Territories","2015A00076101","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573296","14.1.9.2","664.0","","","","1"
"2000","Northwest Territories","2015A00076101","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573297","14.2.8.1","530","","","","0"
"2000","Northwest Territories","2015A00076101","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573298","14.2.8.2","2563.7","","","","1"
"2000","Northwest Territories","2015A00076101","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573299","14.2.9.1","265","","","","0"
"2000","Northwest Territories","2015A00076101","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573300","14.2.9.2","1281.9","","","","1"
"2000","Northwest Territories","2015A00076101","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573301","14.3.8.1","309","","","","0"
"2000","Northwest Territories","2015A00076101","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573302","14.3.8.2","1608.2","","","","1"
"2000","Northwest Territories","2015A00076101","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573303","14.3.9.1","0","","","","0"
"2000","Northwest Territories","2015A00076101","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573304","14.3.9.2","0.0","","","","1"
"2000","Nunavut","2015A00076201","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573305","15.1.8.1","400","","","","0"
"2000","Nunavut","2015A00076201","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573306","15.1.8.2","1463.2","","","","1"
"2000","Nunavut","2015A00076201","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573307","15.1.9.1","1238","","","","0"
"2000","Nunavut","2015A00076201","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573308","15.1.9.2","4528.7","","","","1"
"2000","Nunavut","2015A00076201","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573309","15.2.8.1","350","","","","0"
"2000","Nunavut","2015A00076201","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573310","15.2.8.2","2450.5","","","","1"
"2000","Nunavut","2015A00076201","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573311","15.2.9.1","885","","","","0"
"2000","Nunavut","2015A00076201","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573312","15.2.9.2","6196.2","","","","1"
"2000","Nunavut","2015A00076201","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573313","15.3.8.1","50","","","","0"
"2000","Nunavut","2015A00076201","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573314","15.3.8.2","383.0","","","","1"
"2000","Nunavut","2015A00076201","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573315","15.3.9.1","353","","","","0"
"2000","Nunavut","2015A00076201","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573316","15.3.9.2","2704.2","","","","1"
"2001","Canada","2016A000011124","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573149","1.1.8.1","185999","","","","0"
"2001","Canada","2016A000011124","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573150","1.1.8.2","635.7","","","","1"
"2001","Canada","2016A000011124","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573151","1.1.9.1","116713","","","","0"
"2001","Canada","2016A000011124","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573152","1.1.9.2","398.9","","","","1"
"2001","Canada","2016A000011124","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573153","1.2.8.1","139942","","","","0"
"2001","Canada","2016A000011124","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573154","1.2.8.2","952.1","","","","1"
"2001","Canada","2016A000011124","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573155","1.2.9.1","91410","","","","0"
"2001","Canada","2016A000011124","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573156","1.2.9.2","621.9","","","","1"
"2001","Canada","2016A000011124","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573157","1.3.8.1","46057","","","","0"
"2001","Canada","2016A000011124","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573158","1.3.8.2","316.3","","","","1"
"2001","Canada","2016A000011124","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573159","1.3.9.1","25303","","","","0"
"2001","Canada","2016A000011124","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573160","1.3.9.2","173.8","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573161","2.1.8.1","2842","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573162","2.1.8.2","575.0","","","","1"
