Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Canada,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,2720900
2017/2018,Canada,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,34.4
2017/2018,Canada,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,33.4
2017/2018,Canada,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,35.5
2017/2018,Canada,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,8260800
2017/2018,Canada,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,39.1
2017/2018,Canada,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,38.6
2017/2018,Canada,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,39.6
2017/2018,Canada,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,1860200
2017/2018,Canada,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,28.9
2017/2018,Canada,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,27.7
2017/2018,Canada,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,30.1
2017/2018,Canada,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,469500
2017/2018,Canada,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,44.4
2017/2018,Canada,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,42.1
2017/2018,Canada,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.7
2017/2018,Canada,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,8461600
2017/2018,Canada,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,40.3
2017/2018,Canada,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,39.8
2017/2018,Canada,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,40.8
2017/2018,Canada,Both sexes,"First Nations (off reserve), single response, Indigenous identity",Number of persons,Number,238500
2017/2018,Canada,Both sexes,"First Nations (off reserve), single response, Indigenous identity",Percentage of persons,Percent,47.7
2017/2018,Canada,Both sexes,"First Nations (off reserve), single response, Indigenous identity","Low 95% confidence interval, percentage",Percent,44.1
2017/2018,Canada,Both sexes,"First Nations (off reserve), single response, Indigenous identity","High 95% confidence interval, percentage",Percent,51.2
2017/2018,Canada,Both sexes,"Métis, Indigenous identity",Number of persons,Number,197000
2017/2018,Canada,Both sexes,"Métis, Indigenous identity",Percentage of persons,Percent,41.3
2017/2018,Canada,Both sexes,"Métis, Indigenous identity","Low 95% confidence interval, percentage",Percent,38.1
2017/2018,Canada,Both sexes,"Métis, Indigenous identity","High 95% confidence interval, percentage",Percent,44.7
2017/2018,Canada,Both sexes,"Inuit, Indigenous identity",Number of persons,Number,15300
2017/2018,Canada,Both sexes,"Inuit, Indigenous identity",Percentage of persons,Percent,37.7
2017/2018,Canada,Both sexes,"Inuit, Indigenous identity","Low 95% confidence interval, percentage",Percent,31.6
2017/2018,Canada,Both sexes,"Inuit, Indigenous identity","High 95% confidence interval, percentage",Percent,44.3
2017/2018,Canada,Both sexes,"Indigenous, multiple or other responses, Indigenous identity",Number of persons,Number,18700
2017/2018,Canada,Both sexes,"Indigenous, multiple or other responses, Indigenous identity",Percentage of persons,Percent,47.2
2017/2018,Canada,Both sexes,"Indigenous, multiple or other responses, Indigenous identity","Low 95% confidence interval, percentage",Percent,37.3
2017/2018,Canada,Both sexes,"Indigenous, multiple or other responses, Indigenous identity","High 95% confidence interval, percentage",Percent,57.3
2017/2018,Canada,Both sexes,"Non-Indigenous, Indigenous identity",Number of persons,Number,10322600
2017/2018,Canada,Both sexes,"Non-Indigenous, Indigenous identity",Percentage of persons,Percent,37.6
2017/2018,Canada,Both sexes,"Non-Indigenous, Indigenous identity","Low 95% confidence interval, percentage",Percent,37.1
2017/2018,Canada,Both sexes,"Non-Indigenous, Indigenous identity","High 95% confidence interval, percentage",Percent,38
2017/2018,Canada,Both sexes,"Black, cultural or racial background",Number of persons,Number,256900
2017/2018,Canada,Both sexes,"Black, cultural or racial background",Percentage of persons,Percent,34.7
2017/2018,Canada,Both sexes,"Black, cultural or racial background","Low 95% confidence interval, percentage",Percent,30.9
2017/2018,Canada,Both sexes,"Black, cultural or racial background","High 95% confidence interval, percentage",Percent,38.7
2017/2018,Canada,Both sexes,"East/Southeast Asian, cultural or racial background",Number of persons,Number,619000
2017/2018,Canada,Both sexes,"East/Southeast Asian, cultural or racial background",Percentage of persons,Percent,26.4
2017/2018,Canada,Both sexes,"East/Southeast Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,24.7
2017/2018,Canada,Both sexes,"East/Southeast Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,28.3
2017/2018,Canada,Both sexes,"South Asian, cultural or racial background",Number of persons,Number,409400
2017/2018,Canada,Both sexes,"South Asian, cultural or racial background",Percentage of persons,Percent,29.6
2017/2018,Canada,Both sexes,"South Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,26.8
2017/2018,Canada,Both sexes,"South Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,32.6
2017/2018,Canada,Both sexes,"Arab/West Asian, cultural or racial background",Number of persons,Number,134500
2017/2018,Canada,Both sexes,"Arab/West Asian, cultural or racial background",Percentage of persons,Percent,24.8
2017/2018,Canada,Both sexes,"Arab/West Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,21.3
2017/2018,Canada,Both sexes,"Arab/West Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,28.8
2017/2018,Canada,Both sexes,"Latin American, cultural or racial background",Number of persons,Number,114200
2017/2018,Canada,Both sexes,"Latin American, cultural or racial background",Percentage of persons,Percent,28.5
2017/2018,Canada,Both sexes,"Latin American, cultural or racial background","Low 95% confidence interval, percentage",Percent,23.3
2017/2018,Canada,Both sexes,"Latin American, cultural or racial background","High 95% confidence interval, percentage",Percent,34.3
2017/2018,Canada,Both sexes,"Other background, cultural or racial background",Number of persons,Number,326300
2017/2018,Canada,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,31.4
2017/2018,Canada,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,28.4
2017/2018,Canada,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,34.5
2017/2018,Canada,Males,"Total, selected characteristics",Number of persons,Number,5661600
2017/2018,Canada,Males,"Total, selected characteristics",Percentage of persons,Percent,39.6
2017/2018,Canada,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,39
2017/2018,Canada,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,40.3
2017/2018,Canada,Males,"High school or less, household education",Number of persons,Number,1277800
2017/2018,Canada,Males,"High school or less, household education",Percentage of persons,Percent,48.6
2017/2018,Canada,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,47.1
2017/2018,Canada,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,50.1
2017/2018,Canada,Males,"At least post-secondary education, household education",Number of persons,Number,4095300
2017/2018,Canada,Males,"At least post-secondary education, household education",Percentage of persons,Percent,37.3
2017/2018,Canada,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Canada,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,38.1
2017/2018,Canada,Males,"Lowest income, household income",Number of persons,Number,1761200
2017/2018,Canada,Males,"Lowest income, household income",Percentage of persons,Percent,40.6
2017/2018,Canada,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,39.3
2017/2018,Canada,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,41.9
2017/2018,Canada,Males,"Middle income, household income",Number of persons,Number,1945200
2017/2018,Canada,Males,"Middle income, household income",Percentage of persons,Percent,39.8
2017/2018,Canada,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,38.6
2017/2018,Canada,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,41.1
2017/2018,Canada,Males,"Highest income, household income",Number of persons,Number,1938600
2017/2018,Canada,Males,"Highest income, household income",Percentage of persons,Percent,38.6
2017/2018,Canada,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,37.4
2017/2018,Canada,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,39.8
2017/2018,Canada,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,1386800
2017/2018,Canada,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,36.2
2017/2018,Canada,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,34.7
2017/2018,Canada,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,37.8
2017/2018,Canada,Males,"Non-immigrants, immigrant status",Number of persons,Number,4274800
2017/2018,Canada,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,40.9
2017/2018,Canada,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,40.1
2017/2018,Canada,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,41.6
2017/2018,Canada,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,957800
2017/2018,Canada,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,30.2
2017/2018,Canada,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,28.4
2017/2018,Canada,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,32.1
2017/2018,Canada,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,233300
2017/2018,Canada,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,44.6
2017/2018,Canada,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,41.3
2017/2018,Canada,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,48
2017/2018,Canada,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,4378600
2017/2018,Canada,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,42.4
2017/2018,Canada,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,41.7
2017/2018,Canada,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,43.2
2017/2018,Canada,Males,"First Nations (off reserve), single response, Indigenous identity",Number of persons,Number,116800
2017/2018,Canada,Males,"First Nations (off reserve), single response, Indigenous identity",Percentage of persons,Percent,48.6
2017/2018,Canada,Males,"First Nations (off reserve), single response, Indigenous identity","Low 95% confidence interval, percentage",Percent,43.2
2017/2018,Canada,Males,"First Nations (off reserve), single response, Indigenous identity","High 95% confidence interval, percentage",Percent,54
2017/2018,Canada,Males,"Métis, Indigenous identity",Number of persons,Number,101500
2017/2018,Canada,Males,"Métis, Indigenous identity",Percentage of persons,Percent,41.5
2017/2018,Canada,Males,"Métis, Indigenous identity","Low 95% confidence interval, percentage",Percent,37.1
2017/2018,Canada,Males,"Métis, Indigenous identity","High 95% confidence interval, percentage",Percent,46.1
2017/2018,Canada,Males,"Inuit, Indigenous identity",Number of persons,Number,6700
2017/2018,Canada,Males,"Inuit, Indigenous identity",Percentage of persons,Percent,33.6
2017/2018,Canada,Males,"Inuit, Indigenous identity","Low 95% confidence interval, percentage",Percent,24
2017/2018,Canada,Males,"Inuit, Indigenous identity","High 95% confidence interval, percentage",Percent,44.8
2017/2018,Canada,Males,"Indigenous, multiple or other responses, Indigenous identity",Number of persons,Number,8300
2017/2018,Canada,Males,"Indigenous, multiple or other responses, Indigenous identity",Percentage of persons,Percent,46.7
2017/2018,Canada,Males,"Indigenous, multiple or other responses, Indigenous identity","Low 95% confidence interval, percentage",Percent,31.6
2017/2018,Canada,Males,"Indigenous, multiple or other responses, Indigenous identity","High 95% confidence interval, percentage",Percent,62.4
2017/2018,Canada,Males,"Non-Indigenous, Indigenous identity",Number of persons,Number,5336800
2017/2018,Canada,Males,"Non-Indigenous, Indigenous identity",Percentage of persons,Percent,39.5
2017/2018,Canada,Males,"Non-Indigenous, Indigenous identity","Low 95% confidence interval, percentage",Percent,38.8
2017/2018,Canada,Males,"Non-Indigenous, Indigenous identity","High 95% confidence interval, percentage",Percent,40.2
2017/2018,Canada,Males,"Black, cultural or racial background",Number of persons,Number,116100
2017/2018,Canada,Males,"Black, cultural or racial background",Percentage of persons,Percent,33.3
2017/2018,Canada,Males,"Black, cultural or racial background","Low 95% confidence interval, percentage",Percent,27.6
2017/2018,Canada,Males,"Black, cultural or racial background","High 95% confidence interval, percentage",Percent,39.5
2017/2018,Canada,Males,"East/Southeast Asian, cultural or racial background",Number of persons,Number,328200
2017/2018,Canada,Males,"East/Southeast Asian, cultural or racial background",Percentage of persons,Percent,29.5
2017/2018,Canada,Males,"East/Southeast Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,26.6
2017/2018,Canada,Males,"East/Southeast Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,32.6
2017/2018,Canada,Males,"South Asian, cultural or racial background",Number of persons,Number,203700
2017/2018,Canada,Males,"South Asian, cultural or racial background",Percentage of persons,Percent,29.7
2017/2018,Canada,Males,"South Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,25.8
2017/2018,Canada,Males,"South Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,33.9
2017/2018,Canada,Males,"Arab/West Asian, cultural or racial background",Number of persons,Number,71600
2017/2018,Canada,Males,"Arab/West Asian, cultural or racial background",Percentage of persons,Percent,25.7
2017/2018,Canada,Males,"Arab/West Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,20.5
2017/2018,Canada,Males,"Arab/West Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,31.7
2017/2018,Canada,Males,"Latin American, cultural or racial background",Number of persons,Number,69200
2017/2018,Canada,Males,"Latin American, cultural or racial background",Percentage of persons,Percent,30.9
2017/2018,Canada,Males,"Latin American, cultural or racial background","Low 95% confidence interval, percentage",Percent,23.4
2017/2018,Canada,Males,"Latin American, cultural or racial background","High 95% confidence interval, percentage",Percent,39.5
2017/2018,Canada,Males,"Other background, cultural or racial background",Number of persons,Number,169000
2017/2018,Canada,Males,"Other background, cultural or racial background",Percentage of persons,Percent,32.3
2017/2018,Canada,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,28.1
2017/2018,Canada,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,36.8
2017/2018,Canada,Females,"Total, selected characteristics",Number of persons,Number,5320100
2017/2018,Canada,Females,"Total, selected characteristics",Percentage of persons,Percent,36.1
2017/2018,Canada,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,35.4
2017/2018,Canada,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,36.7
2017/2018,Canada,Females,"High school or less, household education",Number of persons,Number,1442100
2017/2018,Canada,Females,"High school or less, household education",Percentage of persons,Percent,49.8
2017/2018,Canada,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,48.4
2017/2018,Canada,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,51.2
2017/2018,Canada,Females,"At least post-secondary education, household education",Number of persons,Number,3608700
2017/2018,Canada,Females,"At least post-secondary education, household education",Percentage of persons,Percent,32.1
2017/2018,Canada,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,31.3
2017/2018,Canada,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,32.9
2017/2018,Canada,Females,"Lowest income, household income",Number of persons,Number,2191900
2017/2018,Canada,Females,"Lowest income, household income",Percentage of persons,Percent,41.2
2017/2018,Canada,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,40.2
2017/2018,Canada,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,42.3
2017/2018,Canada,Females,"Middle income, household income",Number of persons,Number,1733900
2017/2018,Canada,Females,"Middle income, household income",Percentage of persons,Percent,36.4
2017/2018,Canada,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,35.2
2017/2018,Canada,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,37.6
2017/2018,Canada,Females,"Highest income, household income",Number of persons,Number,1377600
2017/2018,Canada,Females,"Highest income, household income",Percentage of persons,Percent,29.8
2017/2018,Canada,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,28.7
2017/2018,Canada,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,30.8
2017/2018,Canada,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,1334100
2017/2018,Canada,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,32.8
2017/2018,Canada,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,31.4
2017/2018,Canada,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,34.2
2017/2018,Canada,Females,"Non-immigrants, immigrant status",Number of persons,Number,3986000
2017/2018,Canada,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,37.3
2017/2018,Canada,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Canada,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,38
2017/2018,Canada,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,902400
2017/2018,Canada,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,27.6
2017/2018,Canada,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,26
2017/2018,Canada,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,29.2
2017/2018,Canada,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,236300
2017/2018,Canada,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,44.2
2017/2018,Canada,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,41.2
2017/2018,Canada,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,47.3
2017/2018,Canada,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,4083000
2017/2018,Canada,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,38.2
2017/2018,Canada,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,37.5
2017/2018,Canada,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,38.9
2017/2018,Canada,Females,"First Nations (off reserve), single response, Indigenous identity",Number of persons,Number,121700
2017/2018,Canada,Females,"First Nations (off reserve), single response, Indigenous identity",Percentage of persons,Percent,46.9
2017/2018,Canada,Females,"First Nations (off reserve), single response, Indigenous identity","Low 95% confidence interval, percentage",Percent,42.7
2017/2018,Canada,Females,"First Nations (off reserve), single response, Indigenous identity","High 95% confidence interval, percentage",Percent,51
2017/2018,Canada,Females,"Métis, Indigenous identity",Number of persons,Number,95600
2017/2018,Canada,Females,"Métis, Indigenous identity",Percentage of persons,Percent,41.1
2017/2018,Canada,Females,"Métis, Indigenous identity","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Canada,Females,"Métis, Indigenous identity","High 95% confidence interval, percentage",Percent,45.8
2017/2018,Canada,Females,"Inuit, Indigenous identity",Number of persons,Number,8600
2017/2018,Canada,Females,"Inuit, Indigenous identity",Percentage of persons,Percent,41.7
2017/2018,Canada,Females,"Inuit, Indigenous identity","Low 95% confidence interval, percentage",Percent,34
2017/2018,Canada,Females,"Inuit, Indigenous identity","High 95% confidence interval, percentage",Percent,49.8
2017/2018,Canada,Females,"Indigenous, multiple or other responses, Indigenous identity",Number of persons,Number,10400
2017/2018,Canada,Females,"Indigenous, multiple or other responses, Indigenous identity",Percentage of persons,Percent,47.7
2017/2018,Canada,Females,"Indigenous, multiple or other responses, Indigenous identity","Low 95% confidence interval, percentage",Percent,34.7
2017/2018,Canada,Females,"Indigenous, multiple or other responses, Indigenous identity","High 95% confidence interval, percentage",Percent,60.9
2017/2018,Canada,Females,"Non-Indigenous, Indigenous identity",Number of persons,Number,4985800
2017/2018,Canada,Females,"Non-Indigenous, Indigenous identity",Percentage of persons,Percent,35.7
2017/2018,Canada,Females,"Non-Indigenous, Indigenous identity","Low 95% confidence interval, percentage",Percent,35
2017/2018,Canada,Females,"Non-Indigenous, Indigenous identity","High 95% confidence interval, percentage",Percent,36.3
2017/2018,Canada,Females,"Black, cultural or racial background",Number of persons,Number,140800
2017/2018,Canada,Females,"Black, cultural or racial background",Percentage of persons,Percent,36
2017/2018,Canada,Females,"Black, cultural or racial background","Low 95% confidence interval, percentage",Percent,31.5
2017/2018,Canada,Females,"Black, cultural or racial background","High 95% confidence interval, percentage",Percent,40.7
2017/2018,Canada,Females,"East/Southeast Asian, cultural or racial background",Number of persons,Number,290800
2017/2018,Canada,Females,"East/Southeast Asian, cultural or racial background",Percentage of persons,Percent,23.7
2017/2018,Canada,Females,"East/Southeast Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,21.3
2017/2018,Canada,Females,"East/Southeast Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,26.3
2017/2018,Canada,Females,"South Asian, cultural or racial background",Number of persons,Number,205700
2017/2018,Canada,Females,"South Asian, cultural or racial background",Percentage of persons,Percent,29.6
2017/2018,Canada,Females,"South Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,25.5
2017/2018,Canada,Females,"South Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,33.9
2017/2018,Canada,Females,"Arab/West Asian, cultural or racial background",Number of persons,Number,62800
2017/2018,Canada,Females,"Arab/West Asian, cultural or racial background",Percentage of persons,Percent,23.9
2017/2018,Canada,Females,"Arab/West Asian, cultural or racial background","Low 95% confidence interval, percentage",Percent,19.2
2017/2018,Canada,Females,"Arab/West Asian, cultural or racial background","High 95% confidence interval, percentage",Percent,29.4
2017/2018,Canada,Females,"Latin American, cultural or racial background",Number of persons,Number,45000
2017/2018,Canada,Females,"Latin American, cultural or racial background",Percentage of persons,Percent,25.4
2017/2018,Canada,Females,"Latin American, cultural or racial background","Low 95% confidence interval, percentage",Percent,19.1
2017/2018,Canada,Females,"Latin American, cultural or racial background","High 95% confidence interval, percentage",Percent,33.1
2017/2018,Canada,Females,"Other background, cultural or racial background",Number of persons,Number,157300
2017/2018,Canada,Females,"Other background, cultural or racial background",Percentage of persons,Percent,30.5
2017/2018,Canada,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,26.4
2017/2018,Canada,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,34.9
2017/2018,Newfoundland and Labrador,Both sexes,"Total, selected characteristics",Number of persons,Number,213900
2017/2018,Newfoundland and Labrador,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,49.8
2017/2018,Newfoundland and Labrador,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,47.5
2017/2018,Newfoundland and Labrador,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,52.2
2017/2018,Newfoundland and Labrador,Both sexes,"High school or less, household education",Number of persons,Number,60900
2017/2018,Newfoundland and Labrador,Both sexes,"High school or less, household education",Percentage of persons,Percent,60.9
2017/2018,Newfoundland and Labrador,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,56.6
2017/2018,Newfoundland and Labrador,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,65.1
2017/2018,Newfoundland and Labrador,Both sexes,"At least post-secondary education, household education",Number of persons,Number,143700
2017/2018,Newfoundland and Labrador,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,46.1
2017/2018,Newfoundland and Labrador,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,43.2
2017/2018,Newfoundland and Labrador,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,48.9
2017/2018,Newfoundland and Labrador,Both sexes,"Lowest income, household income",Number of persons,Number,81400
2017/2018,Newfoundland and Labrador,Both sexes,"Lowest income, household income",Percentage of persons,Percent,57
2017/2018,Newfoundland and Labrador,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,53.2
2017/2018,Newfoundland and Labrador,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,60.6
2017/2018,Newfoundland and Labrador,Both sexes,"Middle income, household income",Number of persons,Number,72600
2017/2018,Newfoundland and Labrador,Both sexes,"Middle income, household income",Percentage of persons,Percent,50.8
2017/2018,Newfoundland and Labrador,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,47
2017/2018,Newfoundland and Labrador,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,54.6
2017/2018,Newfoundland and Labrador,Both sexes,"Highest income, household income",Number of persons,Number,59800
2017/2018,Newfoundland and Labrador,Both sexes,"Highest income, household income",Percentage of persons,Percent,41.8
2017/2018,Newfoundland and Labrador,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,37.3
2017/2018,Newfoundland and Labrador,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,46.5
